Particle,Opponent,Force Received,HP After,Killed
joydideola,niels.breeschoten,1.278639195205268,98.72136080479473,False
niels.breeschoten,joydideola,2.0071593027962176,97.99284069720379,False
oisayf,ashmi.bishokarma,1.2629961382422974,98.7370038617577,False
ashmi.bishokarma,oisayf,1.9692263126245706,98.03077368737543,False
absolutely.anuj,karissa.turnquist,1.2054274505078468,98.79457254949216,False
karissa.turnquist,absolutely.anuj,1.6205814736806807,98.37941852631931,False
maya.lama.589250,alvez1698juan,1.1325821677471184,98.86741783225288,False
alvez1698juan,maya.lama.589250,1.5443268063660516,98.45567319363394,False
prabh_atsharma764,jrvan1993,1.6002725472176695,98.39972745278233,False
jrvan1993,prabh_atsharma764,1.4138622436712842,98.58613775632871,False
binaykumar411,mattys_19,1.9998513148948653,98.00014868510513,False
mattys_19,binaykumar411,1.7761297405824699,98.22387025941752,False
babulizu,_re.martins__,1.7219531457838904,98.27804685421611,False
_re.martins__,babulizu,1.970172427263869,98.02982757273612,False
ronxzzzzzz,il_cinci5_priv,1.2550410265699388,98.74495897343006,False
il_cinci5_priv,ronxzzzzzz,1.6893423201919386,98.31065767980806,False
joydideola,karinrahma66,1.0819245417812116,97.63943626301352,False
karinrahma66,joydideola,0.7865447295201038,99.2134552704799,False
karinrahma66,xavworth25,1.74112736147295,97.47232790900695,False
xavworth25,karinrahma66,0.5085251273269555,99.49147487267304,False
karinrahma66,lifewithraaag,1.513088342936365,95.95923956607058,False
lifewithraaag,karinrahma66,1.55209732526344,98.44790267473655,False
clos_flow,inemlaundrynganjuk,1.2312887237409276,98.76871127625907,False
inemlaundrynganjuk,clos_flow,1.6369877901154735,98.36301220988453,False
maya.lama.589250,rekakurniawan816,1.8849938352279507,96.98242399702494,False
rekakurniawan816,maya.lama.589250,1.0937726295633992,98.9062273704366,False
mahi490735,sullybetz7,1.3426857924207891,98.6573142075792,False
sullybetz7,mahi490735,1.0963013978307006,98.9036986021693,False
sullybetz7,madinastarlandscaping,1.838791145982258,97.06490745618704,False
madinastarlandscaping,sullybetz7,1.4727883041860306,98.52721169581397,False
alyzhbth,lukyx96,1.7765281908266253,98.22347180917338,False
lukyx96,alyzhbth,1.1982575844789765,98.80174241552102,False
manish.giri1995,rakeshbabu9920,1.571766838019718,98.42823316198029,False
rakeshbabu9920,manish.giri1995,2.014981454989531,97.98501854501046,False
abhisheklikeszaza,re_u788,1.1784073670932127,98.82159263290679,False
re_u788,abhisheklikeszaza,1.0723543494725811,98.92764565052742,False
sudharja_rohit_aggarwal,peetjuh71,1.8551039604824975,98.1448960395175,False
peetjuh71,sudharja_rohit_aggarwal,1.5329359876540651,98.46706401234593,False
ronxzzzzzz,_beyondthelensphotography_,1.9132602435882438,96.83169872984182,False
_beyondthelensphotography_,ronxzzzzzz,0.4545619893081053,99.5454380106919,False
_beyondthelensphotography_,joydideola,1.2571804720902453,98.28825753860166,False
joydideola,_beyondthelensphotography_,1.7676319671332057,95.87180429588031,False
ashmi.bishokarma,charlie_robertson.1,1.3554809794377762,96.67529270793766,False
charlie_robertson.1,ashmi.bishokarma,2.00806353891528,97.99193646108472,False
setiani7521,mev_calisthenix,2.0732570213363766,97.92674297866363,False
mev_calisthenix,setiani7521,1.2407957716355313,98.75920422836447,False
manish.giri1995,levinoscoins,1.1851110645784713,97.24312209740182,False
levinoscoins,manish.giri1995,2.4826344363350046,97.517365563665,False
peetjuh71,eliemalou,1.4966361034862394,96.97042790885969,False
eliemalou,peetjuh71,1.6271356267605035,98.3728643732395,False
karinrahma66,joydideola,0.6253873273263441,95.33385223874423,False
joydideola,karinrahma66,2.1872889719602093,93.6845153239201,False
fatihyigit_17,postingfollowersdaily,1.1140958309249331,98.88590416907506,False
postingfollowersdaily,fatihyigit_17,1.382605094398812,98.61739490560119,False
absolutely.anuj,squirpple,1.2163170514080799,97.57825549808408,False
squirpple,absolutely.anuj,1.3294136759038482,98.67058632409615,False
_re.martins__,rakeshbabu9920,0.7226660164584167,97.3071615562777,False
rakeshbabu9920,_re.martins__,2.0739044061655596,95.91111413884491,False
sudharja_rohit_aggarwal,peetjuh71,1.6021112973986453,96.54278474211885,False
peetjuh71,sudharja_rohit_aggarwal,1.831205885329745,95.13922202352994,False
niels.breeschoten,lifewithraaag,0.3559603208504593,97.63688037635333,False
lifewithraaag,niels.breeschoten,2.333001517079278,96.11490115765727,False
gobinda31608,rizal_rz007,1.4274839997147097,98.57251600028529,False
rizal_rz007,gobinda31608,1.796271312370021,98.20372868762998,False
maya.lama.589250,rekakurniawan816,0.2734342720832425,96.7089897249417,False
rekakurniawan816,maya.lama.589250,2.25074261634424,96.65548475409236,False
karinrahma66,lifewithraaag,1.027256375761594,94.30659586298263,False
lifewithraaag,karinrahma66,1.5410749108616248,94.57382624679565,False
lifewithraaag,madeleine.scotttx,1.4262328289207113,93.14759341787493,False
madeleine.scotttx,lifewithraaag,1.848288065103132,98.15171193489687,False
rakeshbabu9920,khus_12_ks,1.5975097427150384,94.31360439612988,False
khus_12_ks,rakeshbabu9920,2.107130552928071,97.89286944707193,False
vapee.tilburg,bampuran3,2.131101991631953,97.86889800836805,False
bampuran3,vapee.tilburg,1.9337600096754834,98.06623999032452,False
niels.breeschoten,iam_nsriram,1.9403186610352279,95.6965617153181,False
iam_nsriram,niels.breeschoten,2.2835784747081815,97.71642152529182,False
_beyondthelensphotography_,joydideola,1.9067771901595658,96.3814803484421,False
joydideola,_beyondthelensphotography_,2.282914231203226,91.40160109271687,False
ronxzzzzzz,_beyondthelensphotography_,2.5930091955047527,94.23868953433707,False
_beyondthelensphotography_,ronxzzzzzz,1.0817822176094614,95.29969813083264,False
aikied,jula.loves_coffee,1.5849118940326117,98.41508810596738,False
jula.loves_coffee,aikied,2.174510576247691,97.82548942375232,False
mauricecarterr,vick.y144,1.4618776353982572,98.53812236460175,False
vick.y144,mauricecarterr,2.307400973287747,97.69259902671226,False
peetjuh71,eliemalou,1.7841547256591037,93.35506729787083,False
eliemalou,peetjuh71,2.1300089351622855,96.24285543807721,False
fatihyigit_17,aikied,1.617489312406515,97.26841485666854,False
aikied,fatihyigit_17,1.413802617835342,97.00128548813204,False
jula.loves_coffee,rajamaranibinako,2.133074221154645,95.69241520259767,False
rajamaranibinako,jula.loves_coffee,2.25423540209308,97.74576459790691,False
notoprojo.id,ur.rxhi,1.946726391777398,98.0532736082226,False
ur.rxhi,notoprojo.id,2.18028234827969,97.81971765172031,False
gocrazi.lik,babulizu,1.9905960230566795,98.00940397694332,False
babulizu,gocrazi.lik,1.889398293095608,96.3886485611205,False
sha_zim_yasir,nikora_23,2.2133759286158834,97.78662407138411,False
nikora_23,sha_zim_yasir,2.2303929001198246,97.76960709988018,False
madeleine.scotttx,i__m_deepak_x__77,1.8000293046480977,96.35168263024877,False
i__m_deepak_x__77,madeleine.scotttx,2.2641278667823928,97.73587213321761,False
gobinda31608,miguelsegovia638,2.300232993081672,96.27228300720361,False
miguelsegovia638,gobinda31608,1.3885399432976357,98.61146005670237,False
rakeshbabu9920,khus_12_ks,2.370228859625086,91.94337553650479,False
khus_12_ks,rakeshbabu9920,1.8065763788506592,96.08629306822127,False
dvgooo777,fraudone_alex,2.001464651549553,97.99853534845045,False
fraudone_alex,dvgooo777,1.957767823664388,98.04223217633562,False
nishadji.ritesh07,clos_flow,0.7880477197545812,99.21195228024541,False
clos_flow,nishadji.ritesh07,2.0745309284555886,96.69418034780348,False
corndogcatiscool6,just_bored_21,2.1714746119807438,97.82852538801926,False
just_bored_21,corndogcatiscool6,1.9394531840663254,98.06054681593368,False
j_krum41,dvgooo777,2.245152618131729,97.75484738186827,False
dvgooo777,j_krum41,1.6575081344266511,96.3410272140238,False
manish.giri1995,levinoscoins,2.6013541945290948,94.64176790287273,False
levinoscoins,manish.giri1995,2.096202809290413,95.42116275437458,False
dcshoecogirl,abhisheklikeszaza,1.0388320453653703,98.96116795463463,False
abhisheklikeszaza,dcshoecogirl,1.690103303939476,97.1314893289673,False
azuolas69sinkevicius,sneezewiz,1.5859105343786297,98.41408946562137,False
sneezewiz,azuolas69sinkevicius,1.802200320706826,98.19779967929317,False
jula.loves_coffee,muh_umar_876,2.3828951136296457,93.30952008896803,False
muh_umar_876,jula.loves_coffee,1.794961927437215,98.20503807256279,False
zxjakyx,manish.giri1995,3.237120657905986,96.76287934209401,False
manish.giri1995,zxjakyx,2.3293949215755436,92.31237298129719,False
tactix_fc,ccir_cubedi,2.3611978298011413,97.63880217019886,False
ccir_cubedi,tactix_fc,2.314531490381383,97.68546850961862,False
_re.martins__,rakeshbabu9920,2.445598356140652,94.86156320013706,False
rakeshbabu9920,_re.martins__,1.351488979606284,90.5918865568985,False
prabh_atsharma764,jasilen,1.7104339445429935,96.68929350823933,False
jasilen,prabh_atsharma764,1.6878236604594488,98.31217633954056,False
_beyondthelensphotography_,il_cinci5_priv,2.61916520236085,92.68053292847179,False
il_cinci5_priv,_beyondthelensphotography_,2.871870099747724,95.43878758006034,False
a.k.a_ayan_,cadeeggleston,1.9956601642198246,98.00433983578017,False
cadeeggleston,a.k.a_ayan_,2.3073725174008035,97.69262748259919,False
muh_umar_876,theyluv_j4f3t,2.4598043122598288,95.74523376030295,False
theyluv_j4f3t,muh_umar_876,1.5711303391297258,98.42886966087028,False
karinrahma66,lifewithraaag,1.6832777969207595,92.62331806606187,False
lifewithraaag,karinrahma66,0.63831640134542,92.50927701652951,False
rakeshbabu9920,khus_12_ks,2.1036779082064303,88.48820864869207,False
khus_12_ks,rakeshbabu9920,1.2599720371474472,94.82632103107382,False
ashagaihre,ccir_cubedi,2.4567212018222513,97.54327879817775,False
ccir_cubedi,ashagaihre,1.901074025743251,95.78439448387536,False
deluxetourssdnbhd,beckettmcmillan_,2.199053600739457,97.80094639926054,False
beckettmcmillan_,deluxetourssdnbhd,2.0393775680509276,97.96062243194908,False
purelyforthevibes,syphotography0,1.8114264042926431,98.18857359570735,False
syphotography0,purelyforthevibes,2.4807001375283715,97.51929986247163,False
manish.giri1995,levinoscoins,1.1406911432592686,91.17168183803791,False
levinoscoins,manish.giri1995,1.9542531042196085,93.46690965015497,False
cadeeggleston,tpgbdu,2.3934253920790907,95.2992020905201,False
tpgbdu,cadeeggleston,3.0306713264317535,96.96932867356824,False
xavworth25,lifewithraaag,1.7980293334498452,97.69344553922319,False
lifewithraaag,xavworth25,1.6386778930510322,90.87059912347847,False
hiimanxu,dvgooo777,2.015204160778312,97.98479583922169,False
dvgooo777,hiimanxu,1.8198139401013453,94.52121327392246,False
