Particle,Opponent,Force Received,HP After,Killed
surbin394,oowockhardt,1.1712570822340056,98.828742917766,False
oowockhardt,surbin394,2.006387596411186,97.99361240358881,False
pankaj.s.792,_kritagya.sharma_,1.9385268251001837,98.06147317489982,False
_kritagya.sharma_,pankaj.s.792,1.4377610114557413,98.56223898854427,False
adhikari.kristi,pankaj.s.792,2.4274633028398327,97.57253669716016,False
pankaj.s.792,adhikari.kristi,1.6253329092251134,96.43614026567471,False
bkjha150,rodnameshit,1.124776171414046,98.87522382858596,False
rodnameshit,bkjha150,1.224445170513063,98.77555482948694,False
bkjha150,bat.233906,1.8079738574092408,97.06724997117672,False
bat.233906,bkjha150,0.3807833113979757,99.61921668860202,False
bat.233906,shikha.raghav.980,1.5896004495743816,98.02961623902765,False
shikha.raghav.980,bat.233906,1.6942583641443,98.3057416358557,False
maya.lama.589250,rajesh851511,1.30616645410127,98.69383354589873,False
rajesh851511,maya.lama.589250,1.3748116064507305,98.62518839354927,False
k_rajendkumarrajend,bkjha150,0.7570576604591641,99.24294233954083,False
bkjha150,k_rajendkumarrajend,1.7019677030530818,95.36528226812364,False
bkjha150,bat.233906,2.3038737067927815,93.06140856133085,False
bat.233906,bkjha150,1.2376153739126179,96.79200086511503,False
shishir_thapa__,babulizu,1.5281846642773202,98.47181533572268,False
babulizu,shishir_thapa__,1.9692904036011547,98.03070959639885,False
ashagaihre,adrn_pnce,1.749484009817625,98.25051599018238,False
adrn_pnce,ashagaihre,1.2296116908627277,98.77038830913727,False
k_rajendkumarrajend,bkjha150,1.5288835894543624,97.71405875008647,False
bkjha150,k_rajendkumarrajend,1.412170445653411,91.64923811567743,False
adrn_pnce,k_rajendkumarrajend,1.9378516216656088,96.83253668747166,False
k_rajendkumarrajend,adrn_pnce,1.0030299299368428,96.71102882014962,False
bat.233906,shikha.raghav.980,0.5257486173560583,96.26625224775897,False
shikha.raghav.980,bat.233906,2.2160702666511933,96.08967136920451,False
mahi490735,bat.233906,2.049052630893386,97.95094736910661,False
bat.233906,mahi490735,2.2334612650704733,94.0327909826885,False
bat.233906,92.63443319,1.8572483682544925,92.17554261443401,False
92.63443319,bat.233906,1.907313669228105,98.0926863307719,False
rakeshbabu9920,adhikari.kristi,2.764307947842572,97.23569205215743,False
adhikari.kristi,rakeshbabu9920,2.0126399493342864,95.55989674782587,False
golu_______king_______021,mahi490735,2.555657121466731,97.44434287853326,False
mahi490735,golu_______king_______021,2.1813944823344142,95.7695528867722,False
mahi490735,bat.233906,1.9263241793206654,93.84322870745154,False
bat.233906,mahi490735,1.8731037348082382,90.30243887962577,False
bat.233906,92.63443319,2.3761937924046643,87.9262450872211,False
92.63443319,bat.233906,1.9941240209319844,96.0985623098399,False
k_rajendkumarrajend,bkjha150,1.3684278291563206,95.3426009909933,False
bkjha150,k_rajendkumarrajend,1.9148434805159764,89.73439463516146,False
adhikari.kristi,pankaj.s.792,2.4193939991410334,93.14050274868484,False
pankaj.s.792,adhikari.kristi,2.417017293993608,94.0191229716811,False
rakeshbabu9920,adhikari.kristi,1.576029692645852,95.65966235951159,False
adhikari.kristi,rakeshbabu9920,3.561115577423846,89.57938717126099,False
mr_nirob_33,shishir_thapa__,3.5049252569307843,96.49507474306921,False
shishir_thapa__,mr_nirob_33,2.6667639092936892,95.80505142642899,False
ashagaihre,ccir_cubedi,2.4198968094750817,95.8306191807073,False
ccir_cubedi,ashagaihre,3.0790237933639033,96.9209762066361,False
il_cinci5_priv,bat.233906,3.2258833137777,96.7741166862223,False
bat.233906,il_cinci5_priv,2.86424915564809,85.06199593157301,False
adhikari.kristi,notbalakumaran,3.547342087519876,86.03204508374111,False
notbalakumaran,adhikari.kristi,4.1781905515078845,95.82180944849212,False
notbalakumaran,prabh_atsharma764,2.8517400041749945,92.97006944431712,False
prabh_atsharma764,notbalakumaran,5.088133942246522,94.91186605775349,False
rodnameshit,xgraciex26,2.672359441321809,96.10319538816513,False
xgraciex26,rodnameshit,3.1984534226026993,96.8015465773973,False
k_rajendkumarrajend,rodnameshit,2.9050653081618063,92.4375356828315,False
rodnameshit,k_rajendkumarrajend,3.067573724529215,93.03562166363592,False
ccir_cubedi,golu_______king_______021,4.2688725769972615,92.65210362963883,False
golu_______king_______021,ccir_cubedi,4.1817647712705135,93.26257810726275,False
notbalakumaran,pankaj.s.792,4.331291653612158,88.63877779070496,False
pankaj.s.792,notbalakumaran,5.867737765587338,88.15138520609376,False
ccir_cubedi,ashagaihre,2.303429572761041,90.34867405687778,False
ashagaihre,ccir_cubedi,4.410760772638876,91.41985840806842,False
pankaj.s.792,maya.lama.589250,3.7651888099461757,84.38619639614758,False
maya.lama.589250,pankaj.s.792,7.0507977688061825,91.64303577709255,False
_kritagya.sharma_,pankaj.s.792,5.438281153239682,93.12395783530458,False
pankaj.s.792,_kritagya.sharma_,2.310773016530017,82.07542337961756,False
binaykumar411,surbin394,3.8062279836336175,96.19377201636638,False
surbin394,binaykumar411,3.7663818635632,95.0623610542028,False
i__m_deepak_x__77,adrn_pnce,3.7744448506882313,96.22555514931177,False
adrn_pnce,i__m_deepak_x__77,3.9504076354302837,92.88212905204138,False
il_cinci5_priv,binaykumar411,4.0957690158127305,92.67834767040956,False
binaykumar411,il_cinci5_priv,4.723870138331625,91.46990187803476,False
maya.lama.589250,khus12jk,3.9526313703545144,87.69040440673804,False
khus12jk,maya.lama.589250,6.247099925947426,93.75290007405258,False
gobinda31608,ashmi.bishokarma,4.225394592665091,95.7746054073349,False
ashmi.bishokarma,gobinda31608,3.56168775518671,96.43831224481329,False
mr_nirob_33,shikha.raghav.980,3.5446443867678536,92.95043035630135,False
shikha.raghav.980,mr_nirob_33,4.418866800832112,91.6708045683724,False
jivanbudthapajivan,sameer___3113,4.64046629972791,95.3595337002721,False
sameer___3113,jivanbudthapajivan,4.328859562930586,95.67114043706941,False
adrn_pnce,k_rajendkumarrajend,4.843691468615307,88.03843758342607,False
k_rajendkumarrajend,adrn_pnce,4.558311634872919,87.87922404795857,False
oowockhardt,mr_nirob_33,4.76171132854991,93.2319010750389,False
mr_nirob_33,oowockhardt,4.439319299470831,88.51111105683053,False
ashagaihre,bkjha150,3.575058605292097,87.84479980277632,False
bkjha150,ashagaihre,5.396098012161333,84.33829662300013,False
adrn_pnce,ashagaihre,6.463649152060728,81.57478843136535,False
ashagaihre,adrn_pnce,3.345198469096924,84.4996013336794,False
pankaj.s.792,jivanbudthapajivan,5.68929590238537,76.3861274772322,False
jivanbudthapajivan,pankaj.s.792,2.503988200395101,92.855545499877,False
jivanbudthapajivan,maya.lama.589250,3.178535861661725,89.67700963821527,False
maya.lama.589250,jivanbudthapajivan,6.140747562452532,81.54965684428551,False
gobinda31608,adrn_pnce,7.300543020649208,88.47406238668569,False
adrn_pnce,gobinda31608,5.110837434613149,76.4639509967522,False
rakeshbabu9920,_kritagya.sharma_,6.678115016795454,88.98154734271613,False
_kritagya.sharma_,rakeshbabu9920,2.960498665569448,90.16345916973513,False
rajesh851511,gobinda31608,6.586589651039344,92.03859874250992,False
gobinda31608,rajesh851511,3.7997489131636604,84.67431347352203,False
golu_______king_______021,bat.233906,3.8570637308097666,89.40551437645298,False
bat.233906,golu_______king_______021,5.519303027294584,79.54269290427843,False
il_cinci5_priv,shikha.raghav.980,4.13881996425321,88.53952770615635,False
shikha.raghav.980,il_cinci5_priv,5.351662597546884,86.31914197082551,False
jivanbudthapajivan,sameer___3113,3.970886788749852,85.70612284946542,False
sameer___3113,jivanbudthapajivan,2.2121192354410937,93.45902120162832,False
ccir_cubedi,golu_______king_______021,0.8796312158830785,89.4690428409947,False
golu_______king_______021,ccir_cubedi,3.885204460864804,85.52030991558819,False
