Particle,Opponent,Force Received,HP After,Killed
zxjakyx,jasilen,1.2430784875264698,98.75692151247353,False
jasilen,zxjakyx,1.8569750325221765,98.14302496747783,False
sawmer_thakuri,madeleine.scotttx,1.902443241852364,98.09755675814763,False
madeleine.scotttx,sawmer_thakuri,1.9631136197017172,98.03688638029828,False
vick.y144,kabrondestaface,1.856307124086732,98.14369287591327,False
kabrondestaface,vick.y144,1.412304110347129,98.58769588965288,False
mystic_death08,wertye92,1.5301635911632498,98.46983640883676,False
wertye92,mystic_death08,1.910394631325057,98.08960536867494,False
mystic_death08,vrqzxxz,1.8550813695298622,96.6147550393069,False
vrqzxxz,mystic_death08,1.9698487720077467,98.03015122799225,False
jamalahmad8473,sennaxfloris,1.4869495099298522,98.51305049007014,False
sennaxfloris,jamalahmad8473,1.17209135635846,98.82790864364154,False
ccir_cubedi,inemlaundrynganjuk,1.4350298012944716,98.56497019870552,False
inemlaundrynganjuk,ccir_cubedi,1.4681183740679067,98.53188162593209,False
inemlaundrynganjuk,re_u788,1.2378781694176952,97.29400345651439,False
re_u788,inemlaundrynganjuk,0.7168149452714943,99.2831850547285,False
re_u788,deluxetourssdnbhd,1.8302127299861288,97.45297232474238,False
deluxetourssdnbhd,re_u788,0.8494391131093689,99.15056088689063,False
nishadji.ritesh07,sameer___3113,1.4100314925374655,98.58996850746253,False
sameer___3113,nishadji.ritesh07,1.6438756856303458,98.35612431436965,False
absolutely.anuj,zxjakyx,2.0464354265294955,97.9535645734705,False
zxjakyx,absolutely.anuj,1.7744420548387532,96.98247945763477,False
mev_calisthenix,bampuran3,1.942491585406295,98.0575084145937,False
bampuran3,mev_calisthenix,1.736808165239229,98.26319183476078,False
92.63443319,c._____a._____.t,1.5229749159851425,98.47702508401485,False
c._____a._____.t,92.63443319,1.8883827343184452,98.11161726568156,False
92.63443319,sawmer_thakuri,1.6547856278665312,96.82223945614832,False
sawmer_thakuri,92.63443319,2.2455022284452455,95.85205452970239,False
adrn_pnce,fatihyigit_17,1.0812996077904853,98.91870039220952,False
fatihyigit_17,adrn_pnce,1.9532982920946564,98.04670170790534,False
just_bored_21,ashmi.bishokarma,1.2817290651993953,98.7182709348006,False
ashmi.bishokarma,just_bored_21,1.1668476165142143,98.83315238348578,False
manish.giri1995,eliemalou,1.6584565459457041,98.34154345405429,False
eliemalou,manish.giri1995,2.04309197812262,97.95690802187738,False
uj_024,iam_nsriram,1.8121547743700943,98.1878452256299,False
iam_nsriram,uj_024,1.5315879022524608,98.46841209774755,False
sennaxfloris,pankaj.s.792,1.112142319900601,97.71576632374094,False
pankaj.s.792,sennaxfloris,0.8718296002174696,99.12817039978253,False
pankaj.s.792,pvt._.rahi,1.2783541745114564,97.84981622527107,False
pvt._.rahi,pankaj.s.792,1.1243645605471622,98.87563543945284,False
jula.loves_coffee,kingcnation,1.6205431382457975,98.3794568617542,False
kingcnation,jula.loves_coffee,1.8766972015560304,98.12330279844397,False
tactix_fc,jrvan1993,1.3374558058148913,98.6625441941851,False
jrvan1993,tactix_fc,1.3790500501573983,98.6209499498426,False
i__m_deepak_x__77,a.k.a_ayan_,1.4656939845113055,98.5343060154887,False
a.k.a_ayan_,i__m_deepak_x__77,1.1029171522778614,98.89708284772213,False
a.k.a_ayan_,rizal_rz007,1.9028800380085105,96.99420280971363,False
rizal_rz007,a.k.a_ayan_,1.2867082092220568,98.71329179077794,False
rakeshbabu9920,christina_09.0,1.1741513404338715,98.82584865956613,False
christina_09.0,rakeshbabu9920,1.4926487763700365,98.50735122362997,False
christina_09.0,gobinda31608,1.5516459053420397,96.95570531828793,False
gobinda31608,christina_09.0,1.7860333414964429,98.21396665850355,False
_texugo_do_mel_,nikora_23,1.8462661541012606,98.15373384589874,False
nikora_23,_texugo_do_mel_,1.562319995374793,98.43768000462521,False
corndogcatiscool6,kapoorkapoor007,1.2262946219819504,98.77370537801805,False
kapoorkapoor007,corndogcatiscool6,1.113653375068798,98.8863466249312,False
prabh_atsharma764,sumantra_don11,1.1242810577506313,98.87571894224936,False
sumantra_don11,prabh_atsharma764,1.919196466750398,98.08080353324961,False
rekakurniawan816,aadhy.a9278,1.6617197185192405,98.33828028148076,False
aadhy.a9278,rekakurniawan816,1.1070525440638574,98.89294745593614,False
fraudone_alex,syphotography0,1.1641736836979149,98.83582631630209,False
syphotography0,fraudone_alex,1.8999467358220266,98.10005326417797,False
