Particle,Opponent,Force Received,HP After,Killed
purelyforthevibes,xfi_x,1.7005599652538956,98.2994400347461,False
xfi_x,purelyforthevibes,1.9689169631144534,98.03108303688555,False
madeleine.scotttx,pvt._.rahi,1.3837894410556653,98.61621055894433,False
pvt._.rahi,madeleine.scotttx,1.0644727614130214,98.93552723858699,False
clos_flow,bampuran3,1.164042891463679,98.83595710853632,False
bampuran3,clos_flow,1.2288844808003474,98.77111551919965,False
miguelsegovia638,rtx2x5,1.887714763429748,98.11228523657026,False
rtx2x5,miguelsegovia638,1.6005018037884824,98.39949819621151,False
le_1w5,aikied,2.023756577478306,97.97624342252169,False
aikied,le_1w5,1.2854429207681453,98.71455707923185,False
christina_09.0,prabh_atsharma764,1.6078048660333528,98.39219513396665,False
prabh_atsharma764,christina_09.0,1.6768079051398679,98.32319209486013,False
rajamaranibinako,jivanbudthapajivan,1.1143595812701887,98.8856404187298,False
jivanbudthapajivan,rajamaranibinako,1.4774544397015223,98.52254556029848,False
adarshshy488,robina_w15,1.891803697650842,98.10819630234916,False
robina_w15,adarshshy488,1.3837320542535527,98.61626794574644,False
absolutely.anuj,robina_w15,1.0219009232788792,98.97809907672112,False
robina_w15,absolutely.anuj,1.422239794611552,97.19402815113489,False
le_1w5,sad_boy_vlogs_142,1.0921794507516005,96.88406397177009,False
sad_boy_vlogs_142,le_1w5,2.324216744595025,97.67578325540498,False
_nrehannn_,dcshoecogirl,1.923584989588317,98.07641501041168,False
dcshoecogirl,_nrehannn_,1.5385617432984207,98.46143825670158,False
lifewithraaag,manish.giri1995,1.913478055567848,98.08652194443215,False
manish.giri1995,lifewithraaag,1.0757695321388416,98.92423046786116,False
k_rajendkumarrajend,badbuddy_786,1.70834840486932,98.29165159513067,False
badbuddy_786,k_rajendkumarrajend,1.2674000765454645,98.73259992345453,False
shishir_thapa__,wyatt.mcray,1.6464714781294472,98.35352852187056,False
wyatt.mcray,shishir_thapa__,1.699119361183913,98.30088063881608,False
mr_aditya5241,mr_nirob_33,1.7193554981747439,98.28064450182525,False
mr_nirob_33,mr_aditya5241,2.010328311834868,97.98967168816513,False
mev_calisthenix,n0tjustin62,2.050791477101733,97.94920852289826,False
