Particle,Opponent,Force Received,HP After,Killed
lifewithraaag,ronxzzzzzz,1.9124344181772626,98.08756558182274,False
ronxzzzzzz,lifewithraaag,1.2828368893247653,98.71716311067523,False
_kritagya.sharma_,rajesh851511,1.1791250647033538,98.82087493529664,False
rajesh851511,_kritagya.sharma_,1.101385938597927,98.89861406140207,False
postingfollowersdaily,cinnamonsoul___,1.4206896556329556,98.57931034436704,False
cinnamonsoul___,postingfollowersdaily,1.520508856815559,98.47949114318445,False
tpgbdu,archieeastham,1.6402228445401854,98.35977715545981,False
archieeastham,tpgbdu,1.9443909925841587,98.05560900741584,False
bat.233906,archieeastham,2.4007613103076806,97.59923868969231,False
archieeastham,bat.233906,1.2437981429970129,96.81181086441883,False
surbin394,azuolas69sinkevicius,1.1282784604613338,98.87172153953867,False
azuolas69sinkevicius,surbin394,1.9737062874294717,98.02629371257053,False
sameer___3113,marko_kalaba010,1.8585223292179234,98.14147767078208,False
marko_kalaba010,sameer___3113,1.9136303761660158,98.08636962383399,False
absolutely.anuj,wertye92,1.1604115173387903,98.83958848266121,False
wertye92,absolutely.anuj,1.890471528640509,98.1095284713595,False
lukyx96,ccir_cubedi,1.5327613365134336,98.46723866348657,False
ccir_cubedi,lukyx96,1.3414725590751564,98.65852744092484,False
shishir_thapa__,tpgbdu,0.8610305837029097,99.13896941629709,False
tpgbdu,shishir_thapa__,1.7622371552347014,96.59754000022511,False
adrn_pnce,fatihyigit_17,1.4104411031041912,98.58955889689581,False
fatihyigit_17,adrn_pnce,1.663695760364411,98.3363042396356,False
khus_12_sk,_kritagya.sharma_,1.2041188375465177,98.79588116245348,False
_kritagya.sharma_,khus_12_sk,1.5079545780067831,97.31292035728985,False
_el.vxvek_,lukyx96,2.0307044885302403,97.96929551146977,False
lukyx96,_el.vxvek_,1.9040145659997383,96.56322409748682,False
oisayf,badbuddy_786,1.8528273242724638,98.14717267572753,False
badbuddy_786,oisayf,1.2648782845043363,98.73512171549567,False
badbuddy_786,sumantra_don11,1.4186242046492226,97.31649751084645,False
sumantra_don11,badbuddy_786,1.257109778414857,98.74289022158514,False
aikied,rajesh851511,1.217235085388151,98.78276491461185,False
rajesh851511,aikied,1.5693133793244225,97.32930068207764,False
gveda_cure,rajamaranibinako,1.5388549048434632,98.46114509515654,False
rajamaranibinako,gveda_cure,1.6252975921176334,98.37470240788237,False
babulizu,absolutely.anuj,1.0180718846606704,98.98192811533933,False
absolutely.anuj,babulizu,1.4329949946267344,97.40659348803447,False
wertye92,adrn_pnce,1.9489537808039017,96.16057469055559,False
adrn_pnce,wertye92,2.297014299297224,96.29254459759859,False
vrqzxxz,azuolas69sinkevicius,2.1963835320288654,97.80361646797114,False
azuolas69sinkevicius,vrqzxxz,2.2943440968228836,95.73194961574765,False
azuolas69sinkevicius,adarshshy488,1.3793518782794314,94.35259773746822,False
