Particle,Opponent,Force Received,HP After,Killed
adarshshy488,_re.martins__,1.3989142533805532,98.60108574661945,False
_re.martins__,adarshshy488,1.9401602180468174,98.05983978195319,False
tukkertownsend,cristian_genedi,1.683576994925529,98.31642300507447,False
cristian_genedi,tukkertownsend,1.6136161489956329,98.38638385100437,False
14kxya,mauricecarterr,1.9181055251070076,98.08189447489299,False
mauricecarterr,14kxya,1.9338992076700123,98.06610079232999,False
mauricecarterr,binaykumar411,1.904538819534114,96.16156197279588,False
binaykumar411,mauricecarterr,1.9360365616479291,98.06396343835208,False
yahya_o.i,muh_umar_876,1.9068995991555573,98.09310040084445,False
muh_umar_876,yahya_o.i,1.0563531702881548,98.94364682971184,False
muh_umar_876,inemlaundrynganjuk,1.8981964989295796,97.04545033078226,False
inemlaundrynganjuk,muh_umar_876,0.7425220736809132,99.25747792631908,False
khus_12_ks,robina_w15,1.9315352176761258,98.06846478232387,False
robina_w15,khus_12_ks,1.7948354022993396,98.20516459770066,False
karinrahma66,ian_roberts863,1.8994500229606779,98.10054997703932,False
ian_roberts863,karinrahma66,1.9461897193967401,98.05381028060326,False
mattys_19,dcshoecogirl,1.6921230750527976,98.30787692494721,False
dcshoecogirl,mattys_19,1.112849562086579,98.88715043791342,False
ur.rxhi,ruggero.ermio,1.5615825950323756,98.43841740496762,False
ruggero.ermio,ur.rxhi,1.5822464210833254,98.41775357891667,False
xfi_x,ronxzzzzzz,1.8645143625385987,98.1354856374614,False
ronxzzzzzz,xfi_x,2.0216424812572598,97.97835751874274,False
kunwar5152,advisionphoto,1.7029195212096986,98.2970804787903,False
advisionphoto,kunwar5152,1.5336678618107622,98.46633213818924,False
nikora_23,_lr._nie,1.729417889521773,98.27058211047823,False
_lr._nie,nikora_23,1.9072662818674144,98.09273371813259,False
92.63443319,tactix_fc,1.80006505886691,98.1999349411331,False
tactix_fc,92.63443319,1.7541209187343016,98.2458790812657,False
abdo_710ahmed,sennaxfloris,1.176586712432959,98.82341328756704,False
sennaxfloris,abdo_710ahmed,1.8300136979864265,98.16998630201357,False
christina_09.0,_beyondthelensphotography_,1.2608148517930649,98.73918514820693,False
_beyondthelensphotography_,christina_09.0,2.0307681963993955,97.96923180360061,False
daniel_robertson306,niels.breeschoten,1.0959917949365994,98.9040082050634,False
niels.breeschoten,daniel_robertson306,1.6293464410170473,98.37065355898295,False
ur.rxhi,ashmi.bishokarma,1.3819080137481823,97.05650939121944,False
ashmi.bishokarma,ur.rxhi,1.747688798799189,98.25231120120081,False
j_krum41,sudharja_rohit_aggarwal,1.3056827240296636,98.69431727597033,False
sudharja_rohit_aggarwal,j_krum41,1.8277882018495526,98.17221179815044,False
purelyforthevibes,kathat_irfan_malik,2.0265120337292575,97.97348796627074,False
kathat_irfan_malik,purelyforthevibes,1.104677793549203,98.8953222064508,False
pvt._.rahi,bissmillah233,1.300517384326248,98.69948261567376,False
bissmillah233,pvt._.rahi,1.968152666701226,98.03184733329877,False
mr_aditya5241,fatihyigit_17,1.2695680788574775,98.73043192114253,False
fatihyigit_17,mr_aditya5241,1.4015979526910294,98.59840204730897,False
sha_zim_yasir,pa1prun,1.7962664648465363,98.20373353515346,False
pa1prun,sha_zim_yasir,1.1583240834338646,98.84167591656613,False
bharattt.chauhan,charlie_robertson.1,1.7754862654882406,98.22451373451176,False
charlie_robertson.1,bharattt.chauhan,2.0344618015213665,97.96553819847864,False
madeleine.scotttx,ig_rg21,1.4662525145334369,98.53374748546656,False
ig_rg21,madeleine.scotttx,1.799725857540618,98.20027414245938,False
iam_nsriram,badbuddy_786,2.052887834856514,97.94711216514348,False
badbuddy_786,iam_nsriram,1.279444913649602,98.7205550863504,False
miguelsegovia638,christina_09.0,2.389461761564825,97.61053823843517,False
christina_09.0,miguelsegovia638,1.4275966289032944,97.31158851930364,False
ig_rg21,jivanbudthapajivan,1.3823237078256354,96.81795043463374,False
jivanbudthapajivan,ig_rg21,1.7878942712381496,98.21210572876186,False
jivanbudthapajivan,nnaxho._17k,1.5329480698854863,96.67915765887636,False
nnaxho._17k,jivanbudthapajivan,1.714753974365555,98.28524602563445,False
eliemalou,notoprojo.id,1.3085739566419565,98.69142604335805,False
notoprojo.id,eliemalou,1.2910963723452693,98.70890362765473,False
eliemalou,lukyx96,2.062547714134199,96.62887832922385,False
lukyx96,eliemalou,1.2460476874765496,98.75395231252345,False
lukyx96,_texugo_do_mel_,1.6325978779115853,97.12135443461187,False
_texugo_do_mel_,lukyx96,1.9161901462525084,98.0838098537475,False
