Particle,Opponent,Force Received,HP After,Killed
rodnameshit,khus_12_ks,1.1757749349189102,98.8242250650811,False
khus_12_ks,rodnameshit,1.4889967507878266,98.51100324921218,False
flamingclaw542,fatihyigit_17,1.6764795898019056,98.3235204101981,False
fatihyigit_17,flamingclaw542,1.5394171780784782,98.46058282192152,False
fatihyigit_17,_lr._nie,1.9920585332544938,96.46852428866703,False
_lr._nie,fatihyigit_17,1.541945331259217,98.45805466874079,False
sudharja_rohit_aggarwal,postingfollowersdaily,1.9260167150116976,98.0739832849883,False
postingfollowersdaily,sudharja_rohit_aggarwal,1.2373199720963084,98.7626800279037,False
beckettmcmillan_,muh_umar_876,1.2386693244969922,98.761330675503,False
muh_umar_876,beckettmcmillan_,1.5572812721172529,98.44271872788275,False
cadeeggleston,abdo_710ahmed,1.776551475260922,98.22344852473908,False
abdo_710ahmed,cadeeggleston,1.516465817395713,98.48353418260429,False
nishadji.ritesh07,gocrazi.lik,1.336736018135719,98.66326398186428,False
gocrazi.lik,nishadji.ritesh07,1.977223198977585,98.02277680102242,False
gocrazi.lik,theyluv_j4f3t,1.5772889755482684,96.44548782547415,False
theyluv_j4f3t,gocrazi.lik,1.9819264905352627,98.01807350946474,False
pankaj.s.792,binaykumar411,1.270223540580763,98.72977645941924,False
binaykumar411,pankaj.s.792,1.5673296298634896,98.4326703701365,False
rodnameshit,nnaxho._17k,1.1492296935383501,97.67499537154275,False
nnaxho._17k,rodnameshit,1.4621035900507868,98.53789640994921,False
freundhunter19,sudharja_rohit_aggarwal,0.82202628794004,99.17797371205997,False
sudharja_rohit_aggarwal,freundhunter19,1.9148269811553758,96.15915630383293,False
simrikclothing,ccir_cubedi,1.3077732437042955,98.69222675629571,False
ccir_cubedi,simrikclothing,1.8025415153289195,98.19745848467107,False
ccir_cubedi,iam_nsriram,1.0934097265951173,97.10404875807596,False
iam_nsriram,ccir_cubedi,2.213062853804328,97.78693714619567,False
iam_nsriram,le_1w5,1.9485112946061511,95.83842585158952,False
le_1w5,iam_nsriram,1.5942805233519641,98.40571947664803,False
postingfollowersdaily,vrqzxxz,2.0354789660403942,96.7272010618633,False
vrqzxxz,postingfollowersdaily,2.1641210164787763,97.83587898352123,False
ft._jainabhishek,cadeeggleston,2.150978925189627,97.84902107481037,False
cadeeggleston,ft._jainabhishek,1.4679133284207628,96.75553519631832,False
mattys_19,bampuran3,1.247414462062769,98.75258553793724,False
bampuran3,mattys_19,1.878614274598715,98.12138572540128,False
bampuran3,_beyondthelensphotography_,1.473975222179788,96.6474105032215,False
_beyondthelensphotography_,bampuran3,2.219485323125959,97.78051467687403,False
cadeeggleston,i__m_deepak_x__77,1.3426940696131024,95.41284112670522,False
i__m_deepak_x__77,cadeeggleston,2.0954017864199663,97.90459821358003,False
i__m_deepak_x__77,rakeshbabu9920,1.6039030613061656,96.30069515227386,False
rakeshbabu9920,i__m_deepak_x__77,2.063871141970675,97.93612885802932,False
vapee.tilburg,rtx2x5,1.4318605051882372,98.56813949481176,False
rtx2x5,vapee.tilburg,1.6160499866644193,98.38395001333558,False
calimack42,theyluv_j4f3t,2.136834178484358,97.86316582151564,False
theyluv_j4f3t,calimack42,1.2267474984827027,96.79132601098203,False
nishadji.ritesh07,gocrazi.lik,1.411001864510608,97.25226211735367,False
gocrazi.lik,nishadji.ritesh07,1.3497526637954411,95.0957351616787,False
alyzhbth,ccir_cubedi,1.9045322066661405,98.09546779333385,False
ccir_cubedi,alyzhbth,1.1978434549788943,95.90620530309707,False
ccir_cubedi,iam_nsriram,0.968024949475008,94.93818035362206,False
iam_nsriram,ccir_cubedi,2.1950927862615788,93.64333306532794,False
mr_aditya5241,squirpple,1.1556347194815435,98.84436528051846,False
squirpple,mr_aditya5241,1.3769033720320656,98.62309662796794,False
_el.vxvek_,gocrazi.lik,1.3934442728593885,98.60655572714062,False
gocrazi.lik,_el.vxvek_,1.5731488894101282,93.52258627226857,False
dcshoecogirl,wertye92,1.692326753520818,98.30767324647918,False
wertye92,dcshoecogirl,1.279746644578559,98.72025335542143,False
kam.kakaa,miguelsegovia638,1.982064354376819,98.01793564562318,False
miguelsegovia638,kam.kakaa,1.821195049688022,98.17880495031199,False
itz_bassiitt,sudharja_rohit_aggarwal,1.9397297576311183,98.06027024236889,False
sudharja_rohit_aggarwal,itz_bassiitt,2.0486337363388767,94.11052256749406,False
clos_flow,mattys_19,0.4388976476715055,99.56110235232849,False
mattys_19,clos_flow,1.1471782573693998,97.60540728056783,False
mattys_19,charlie_robertson.1,1.2852520377199699,96.32015524284786,False
charlie_robertson.1,mattys_19,0.6952104034546488,99.30478959654535,False
_el.vxvek_,calimack42,0.9852243198864022,97.62133140725422,False
calimack42,_el.vxvek_,0.5158779711690632,97.34728785034658,False
ronxzzzzzz,mauricecarterr,1.4310993249713029,98.5689006750287,False
mauricecarterr,ronxzzzzzz,2.0474402265025655,97.95255977349744,False
jrvan1993,gojog_cc,1.559133777477296,98.4408662225227,False
gojog_cc,jrvan1993,1.66262930172153,98.33737069827848,False
a.k.a_ayan_,jivanbudthapajivan,1.5573091859769999,98.442690814023,False
jivanbudthapajivan,a.k.a_ayan_,2.095704046304807,97.9042959536952,False
sumantra_don11,azuolas69sinkevicius,2.07528453377048,97.92471546622951,False
azuolas69sinkevicius,sumantra_don11,1.9850066776536883,98.01499332234631,False
mattys_19,bampuran3,2.0094568654279685,94.3106983774199,False
bampuran3,mattys_19,1.2994475944494372,95.34796290877206,False
cadeeggleston,i__m_deepak_x__77,2.2336427502331624,93.17919837647206,False
i__m_deepak_x__77,cadeeggleston,1.4706731896627774,94.83002196261108,False
clos_flow,mattys_19,1.7937532745719025,97.76734907775659,False
mattys_19,clos_flow,1.1325865860463977,93.1781117913735,False
vrqzxxz,babulizu,1.8890427869246773,95.94683619659655,False
babulizu,vrqzxxz,2.899744654779741,97.10025534522026,False
cadeeggleston,abdo_710ahmed,1.1764165096750823,92.00278186679698,False
abdo_710ahmed,cadeeggleston,2.0977328453640296,96.38580133724025,False
vashaun_ervin,advisionphoto,1.701266713113551,98.29873328688645,False
advisionphoto,vashaun_ervin,2.192569199336038,97.80743080066397,False
wyatt.mcray,tactix_fc,1.9736207421329202,98.02637925786708,False
tactix_fc,wyatt.mcray,2.1668045204351998,97.83319547956481,False
romeo_mix_boy2,a.k.a_ayan_,2.603890988589775,97.39610901141023,False
a.k.a_ayan_,romeo_mix_boy2,1.844238928008618,96.59845188601437,False
sudharja_rohit_aggarwal,postingfollowersdaily,1.4356518757376757,92.67487069175638,False
postingfollowersdaily,sudharja_rohit_aggarwal,2.2847309400487883,94.44247012181451,False
manish.giri1995,cristian_genedi,2.264263451553198,97.7357365484468,False
cristian_genedi,manish.giri1995,2.176712102619997,97.82328789738,False
camilo_zuleta.7,re_u788,2.2686826985223996,97.7313173014776,False
re_u788,camilo_zuleta.7,1.7411931995928025,98.2588068004072,False
gobinda31608,bkjha150,1.821094658219994,98.17890534178001,False
bkjha150,gobinda31608,1.54510558151518,98.45489441848483,False
mr_aditya5241,camilo_zuleta.7,1.861258775009217,96.98310650550924,False
camilo_zuleta.7,mr_aditya5241,2.061801528766219,95.66951577271138,False
