Particle,Opponent,Force Received,HP After,Killed
ashagaihre,lukyx96,1.4758682586719132,98.52413174132809,False
lukyx96,ashagaihre,1.1684896874976383,98.83151031250236,False
adhikari.kristi,i__m_deepak_x__77,1.6474560945327186,98.35254390546729,False
i__m_deepak_x__77,adhikari.kristi,1.7125721334580575,98.28742786654195,False
babulizu,christina_09.0,1.7621723551802115,98.23782764481979,False
christina_09.0,babulizu,1.1541366481221877,98.84586335187781,False
rodnameshit,k_rajendkumarrajend,1.9873818823815983,98.0126181176184,False
k_rajendkumarrajend,rodnameshit,1.8081013249253275,98.19189867507467,False
rajesh851511,gveda_cure,1.3142216725531284,98.68577832744687,False
gveda_cure,rajesh851511,2.056981537781769,97.94301846221823,False
sameer___3113,lifewithraaag,1.2756160904268745,98.72438390957312,False
lifewithraaag,sameer___3113,1.844450425350044,98.15554957464995,False
bkjha150,sawmer_thakuri,1.8282140022861195,98.17178599771388,False
sawmer_thakuri,bkjha150,1.797787048408412,98.20221295159159,False
khus12jk,lifewithraaag,1.0294336731606955,98.9705663268393,False
lifewithraaag,khus12jk,1.8671450288913205,96.28840454575864,False
mystic_death08,khus12jk,1.2305768800698567,98.76942311993014,False
khus12jk,mystic_death08,1.2083926988305662,97.76217362800874,False
khus12jk,adiezhh,2.005456601347174,95.75671702666156,False
adiezhh,khus12jk,1.3287317473850833,98.67126825261492,False
notbalakumaran,jivanbudthapajivan,1.7495075015125354,98.25049249848746,False
jivanbudthapajivan,notbalakumaran,2.315497269506049,97.68450273049395,False
shishir_thapa__,rajesh851511,2.081930389895632,97.91806961010437,False
rajesh851511,shishir_thapa__,2.0982917174268043,96.58748661002006,False
mr_vivek_ff_670,pankaj.s.792,2.4832562231177016,97.5167437768823,False
pankaj.s.792,mr_vivek_ff_670,1.9476521772311526,98.05234782276885,False
binaykumar411,adhikari.kristi,3.261357041188868,96.73864295881113,False
adhikari.kristi,binaykumar411,3.0911385200988923,95.26140538536839,False
christina_09.0,simrikclothing,3.0577042865702073,95.7881590653076,False
simrikclothing,christina_09.0,2.620455587937173,97.37954441206283,False
ashmi.bishokarma,sad_boy_vlogs_142,3.1174186737075957,96.88258132629241,False
sad_boy_vlogs_142,ashmi.bishokarma,2.9669718650062777,97.03302813499373,False
adrn_pnce,pankaj.s.792,1.2269085299215206,98.77309147007848,False
pankaj.s.792,adrn_pnce,3.0057524642678968,95.04659535850095,False
_kritagya.sharma_,azuolas69sinkevicius,2.7924847950960214,97.20751520490398,False
azuolas69sinkevicius,_kritagya.sharma_,2.8356910720311426,97.16430892796886,False
k_rajendkumarrajend,binaykumar411,4.737906933148338,93.45399174192633,False
binaykumar411,k_rajendkumarrajend,3.9182954061737356,92.82034755263739,False
oowockhardt,lukyx96,2.7304526740100004,97.26954732599,False
lukyx96,oowockhardt,3.243024302238057,95.5884860102643,False
